0,1,2,3,4,5,6
Hong Kong,Taipei-Taoyuan,"6,476,268",(#8),"6,719,030",(#8),5.1
Jakarta,Singapore,"4,812,342","4,810,602",3.4,,
Kuala Lumpur,Singapore,"4,490,463","4,108,824",2.7,,
Bangkok-Suvarnabhumi,Hong Kong,"3,490,988","3,438,628",3,,
Seoul-Incheon,Osaka-Kansai,"3,210,813","2,907,199",,,
Jakarta,Kuala Lumpur,"3,170,193","2,812,479",,,
Hong Kong,Seoul-Incheon,"3,081,942","3,198,132",,,
Hong Kong,Manila,"3,008,842","2,907,228",,,
Hong Kong,Singapore,"2,923,578","3,147,384",2.7,,
Tokyo-Narita,Taipei-Taoyuan,"2,848,925",,,,
New York–JFK,London–Heathrow,"2,972,817",,,,
