Rank,Airport 1,Airport 2,2020,2021,2022
1,Barcelona/El Prat,Palma de Mallorca,"820,742","1,220,540","2,033,205"
2,Madrid/Barajas,Palma de Mallorca,"793,794","1,140,759","1,877,938"
3,Oslo/Gardermoen,Trondheim,"918,615","1,005,775","1,839,520"
4,Oslo/Gardermoen,Bergen,"869,489","991,026","1,737,598"
5,Madrid/Barajas,Barcelona/El Prat,"754,090","1,013,754","1,715,592"
6,Rome/Fiumicino,Catania,"648,964","1,060,641","1,541,879"
7,Madrid/Barajas,Lisbon,"415,465","573,206","1,538,344"
8,Madrid/Barajas,Gran Canaria,"638,092","937,084","1,430,978"
9,Oslo/Gardermoen,Stavanger,"720,102","785,512","1,392,824"
10,Madrid/Barajas,Tenerife Norte,"617,739","875,428","1,291,140"
11,Athens/El. Venizelos,Thessaloniki/Macedonia,"551,914","826,643","1.204,852"
Rome/Fiumicino,Palermo/Falcone Borsellino,"549,692","741,588","1,176,181",
Oslo/Gardermoen,Tromsø,"606,927","722,576",,
Madrid/Barajas,Paris/Orly,"460,765","707,707","1,371,546",
Paris/CDG,Nice,"744,588","699,762",,
Athens/El. Venizelos,Heraklion,"504,120","650,400",,
Athens/El. Venizelos,Larnaca,"427,252","622,148",,
Madrid/Barajas,Ibiza,"368,182","610,232",,
Amsterdam,Barcelona/El Prat,"377,835","608,458",,
Berlin/Brandenburg,Frankfurt/Main,"382,232","574,588",,
Amsterdam,Paris/CDG,"495,151","574,320",,
Paris/CDG,Amsterdam/Schiphol,"492,723","570,825",,
Athens/El. Venizelos,Santorini,"294,903","569,193",,
Aalborg,Copenhagen,"353,196","557,869",,
Berlin/Brandenburg,Palma de Mallorca,"728,801","508,428",,
Paris/CDG,Toulouse,"521,138","497,045",,
Larnaca,Athens/El. Venizelos,"392,679","485,950",,
Oslo/Gardermoen,Bodø,"398,431","480,661",,
Stockholm/Arlanda,Luleå,"402,949","467,608",,
Amsterdam/Schiphol,Madrid/Barajas,"359,582","458,560","1,207,458",
Rome/Fiumicino,"Cagliari, Sardinia","363,665","457,430",,
Rome/Fiumicino,Madrid/Barajas,"291,571","457,135",,
Madrid/Barajas,Rome/Fiumicino,"288,463","457,111","1,291,186",
Amsterdam/Schiphol,Lisbon,"332,296","442,593",,
Athens/El. Venizelos,Paris/CDG,"297,056","435,115",,
Amsterdam/Schiphol,Málaga/Costa del Sol,"229,366","430,838",,
Athens/El. Venizelos,Rhodes,"294,090","428,845",,
Athens/El. Venizelos,"Chania, Crete","274,263","427,966",,
Madrid/Barajas,London/Heathrow,"454,469","425,692",,
Paris/CDG,Barcelona/El Prat,"348,322","420,862",,
Paris/CDG,Bordeaux,"295,201","413,802",,
Madrid/Barajas,Frankfurt/Main,"304,230","413,715",,
Copenhagen,Oslo/Gardermoen,"413,728","412,499",,
Brussels,Madrid/Barajas,"279,122","410,557",,
Madrid/Barajas,Brussels,"278,738","410,359",,
Rome/Fiumicino,Paris/CDG,"344,462","406,047",,
Oslo/Gardermoen,Copenhagen,"405,748","405,422",,
Dublin,London/Heathrow,"445,413","404,011",,
Oslo/Gardermoen,Harstad/Narvik,"319,663","403,916",,
Paris/CDG,Rome/Fiumicino,"343,027","402,923",,
