0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,Kuala Lumpur (KUL),Singapore (SIN),"30,187",Malaysia Airlines,",",Singapore Airlines,",",AirAsia,",",Jetstar Asia,",",Malindo Air,",",Scoot,",",Firefly,",",Saudia,,,,,,,,,,,,,,,,,,
2,Hong Kong (HKG),Taipei (TPE),"28,447",Cathay Pacific,",",China Airlines,",",EVA Airlines,",",Hong Kong Airlines,",",Thai Airways,",",Starlux Airlines,",",Greater Bay Airlines,",",United Parcel Service,,,,,,,,,,,,,,,,,,
3,Jakarta (CGK),Singapore (SIN),"27,046",Singapore Airlines,",",Garuda Indonesia,",",Lion Air,",",Jetstar Asia,",",Indonesia AirAsia,",",Scoot,",",Batik Air,,,,,,,,,,,,,,,,,,,,
4,Hong Kong (HKG),Shanghai (PVG),"20,678",China Eastern Airlines,",",Hong Kong Airlines,",",Cathay Pacific,",",Spring Airlines,",",Juneyao Airlines,,,,,,,,,,,,,,,,,,,,,,,,
5,Jakarta (CGK),Kuala Lumpur (KUL),"19,741",Malaysia Airlines,",",AirAsia,",",Lion Air,",",Indonesia AirAsia,",",Malindo Airways,",",Garuda Indonesia,",",KLM,",",Batik Air,",",Citilink,",",TransNusa,,,,,,,,,,,,,,
6,Osaka (KIX),Seoul (ICN),"19,711",Asiana Airlines,",",Korean Air,",",Jin Air,",",Jeju Air,",",Peach Aviation,",",Eastar Jet,",",T'way Air,",",Air Seoul,",",Air Busan,,,,,,,,,,,,,,,,
7,Toronto (YYZ),New York (LGA),"17,038",Air Canada,",",United Airlines,",",Republic Airways,",",AirSprint,",",Jazz Aviation,",",Endeavor Air,",",NetJets,",",Delta Air Lines,,,,,,,,,,,,,,,,,,
8,Hong Kong (HKG),Seoul (ICN),"15,770",Cathay Pacific,",",Korean Air,",",HK Express,",",Asiana Airlines,",",Jeju Air,",",Eastar Jet,",",T'way Air,",",Jin Air,",",Thai Airways,",",Greater Bay Airlines,,,,,,,,,,,,,,
9,Bangkok (BKK),Singapore (SIN),"14,698",Singapore Airlines,",",Thai Airways,",",Scoot,",",Jetstar Asia,",",Cathay Pacific,",",K-Mile Air,",",Nippon Cargo Airlines,",",Asiana Airlines,,,,,,,,,,,,,,,,,,
10,Dubai (DXB),Kuwait (KWI),"14,581",Emirates,",",Flydubai,",",Kuwait Airways,",",Jazeera Airways,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Hong Kong (HKG),Bangkok (BKK),"14,556",Cathay Pacific,",",Thai Airways,",",Hong Kong Airlines,",",Emirates,",",HK Express,",",Greater Bay Airlines,",",Ethiopian Airlines,",",Air Hong Kong,",",Egypt Air,",",K-Mile Air,",",Hong Kong Air Cargo,",",Qatar Airways Cargo,",",[,18,],Air ACT,[,19,],,
12,Hong Kong (HKG),Beijing (PEK),"14,537",Air China,",",Hong Kong Airlines,",",Cathay Pacific,",",Air Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,
13,London (LHR),New York–JFK,"14,195",British Airways,",",Virgin Atlantic,",",American Airlines,",",Delta Airlines,",",JetBlue Airways,,,,,,,,,,,,,,,,,,,,,,,,
14,Tokyo (NRT),Taipei (TPE),"13,902",China Airlines,",",EVA Air,",",Peach Aviation,",",Japan Airlines,",",Scoot,",",Cathay Pacific,",",Jetstar Japan,",",Thai Lion Air,",",Tiger Air,",",Starlux,",",Nippon Cargo Airlines,",",FedEx Express,,,,,,,,,,
15,London (LHR),Dublin (DUB),"13,855",Aer Lingus,",",British Airways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Osaka (KIX),Shanghai (PVG),"13,708",China Eastern Airlines,",",China Southern Airlines,",",Air China,",",Juneyao Airlines,",",All Nippon Airways,",",Spring Airlines,",",China Cargo Airlines,",",Peach Aviation,",",Shanghai Airlines,,,,,,,,,,,,,,,,
17,Hong Kong (HKG),Singapore (SIN),"13,654",Cathay Pacific Airways,",",Singapore Airlines,",",Scoot,",",Air Hong Kong,",",Hong Kong Air Cargo,",",UPS Airlines,,,,,,,,,,,,,,,,,,,,,,
18,Toronto (YYZ),Chicago (ORD),"13,503",Air Canada,",",United Airlines,",",Envoy Air,",",EVA Air,",",SkyWest,",",AeroLogic,",",Republic Airways,,,,,,,,,,,,,,,,,,,,
19,Tokyo (NRT),Seoul (ICN),"13,420",Asiana Airlines,",",Korean Air,",",Jeju Air,",",Eastar Jet,",",Jin Air,",",T'way Air,",",Air Japan,",",Zip Air,",",Air Premia,",",Air Seoul,",",Air Busan,",",Ethiopian Airlines,",",Japan Airline,",",All Nippon Airways,",",Kalitta Air,",",Aero K,",",Lufthansa Cargo
20,Osaka (KIX),Taipei (TPE),"13,325",All Nippon Airways,",",China Airlines,",",EVA Air,",",Japan Airlines,",",Starlux Airlines,",",Tigerair Taiwan,,,,,,,,,,,,,,,,,,,,,,
